18:35:23.212591 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:24.924484 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:24.971867 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:25.019551 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:25.035609 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:25.067751 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:26.922320 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:26.969798 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:27.049290 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:27.097030 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:27.176287 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:28.923458 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:28.955598 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:29.018996 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:29.082356 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:29.193862 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:30.907449 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:30.955516 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:31.035197 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:31.067470 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:31.258411 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:32.940167 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:33.004153 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:33.036229 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:33.068322 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:33.194926 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:34.907249 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:34.955464 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:35.002970 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:35.050659 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:35.130347 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:36.958173 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:37.005867 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:37.021847 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:37.148825 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:37.228686 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:38.927672 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:38.991637 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:39.023872 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:39.039879 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:39.166989 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:40.931429 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:40.978850 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:41.011073 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:41.026546 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:41.122444 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:42.915687 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:42.995053 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:43.042596 [TOOL -> EBC] HEX: 73  ASCII: s
18:35:43.138069 [TOOL -> EBC] HEX: 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: etLogTime.
18:35:43.138189 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A 73  ASCII: ..?..s
18:35:43.217415 [EBC -> TOOL] HEX: 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: etLogTime...30..
18:35:44.980231 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:45.043805 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:45.059520 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:45.138664 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:45.281174 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:46.946098 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:47.025183 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:47.088851 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:47.136326 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:47.200076 [EBC -> TOOL] HEX: 73 74 9D 51 A5 B5 95  ASCII: st.Q...
18:35:48.961615 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:49.041525 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:49.041662 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:49.136915 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A 73 65 74 4C  ASCII: ..?..setL
18:35:49.184844 [EBC -> TOOL] HEX: 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: ogTime...30..
18:35:50.932558 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:50.996026 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:51.028008 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:51.091548 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:51.139396 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:52.947342 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:53.011408 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:53.043002 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:53.090728 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:53.154895 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:54.914355 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:55.025212 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:55.057531 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:55.073295 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:55.168625 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:56.931754 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:57.011508 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:57.011640 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:57.043371 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:57.105900 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:35:58.913830 [TOOL -> EBC] HEX: 0D  ASCII: .
18:35:59.009268 [EBC -> TOOL] HEX: 0D  ASCII: .
18:35:59.009449 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:35:59.088978 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
18:35:59.215656 [EBC -> TOOL] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D 0D 0A 33 30 0D 0A  ASCII: setLogTime...30..
18:36:00.960412 [TOOL -> EBC] HEX: 0D  ASCII: .
18:36:01.072081 [EBC -> TOOL] HEX: 0D  ASCII: .
18:36:01.120210 [TOOL -> EBC] HEX: 73 65 74 4C 6F 67 54 69 6D 65 0D  ASCII: setLogTime.
18:36:01.199557 [EBC -> TOOL] HEX: 0D 0A 3F 0D 0A  ASCII: ..?..
